INSTNM,HIGHDEG,CONTROL,ADM_RATE,UGDS
California State University-Dominguez Hills,4,1,0.4234,12199
California State University-Fresno,4,1,0.594,20128
California State University-Fullerton,4,1,0.4447,32610
California State University-East Bay,4,1,0.7031,12275
California State University-Long Beach,4,1,0.3546,31493
California State University-Los Angeles,4,1,0.6107,20643
California State University-Northridge,4,1,0.5286,35409
California State University-Sacramento,4,1,0.7265,26400
University of California-Berkeley,4,1,0.1602,27126
University of California-Davis,4,1,0.4037,27547
University of California-Irvine,4,1,0.3742,24474
University of California-Los Angeles,4,1,0.1856,29627
University of California-Riverside,4,1,0.5829,18784
University of California-San Diego,4,1,0.3329,24801
University of California-San Francisco,4,1,NULL,NULL
University of California-Santa Barbara,4,1,0.3634,20237
University of California-Santa Cruz,4,1,0.5572,16277
Sofia University,4,3,NULL,16
